Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category	accuracy
OC(OC(C)(C)C)(C)C	0,00647	0,00054	11.0	1.0	12.0	0.0	7	0.9141666666666667
N(C)CC	4,88E-9	2,6E-12	87.0	21.0	92.0	16.0	0	0.8988888888888887
OC(=C)C(=CC)CC(C=C)=C(O)C	0,00198	0,01834	10.0	0.0	9.0	1.0	7	0.8320000000000001
N(=C)N(C)(C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
C=C(C(=C(N)C)I)C	0,00368	0,00353	9.0	0.0	9.0	0.0	7	0.8744444444444445
OC(C)(C)C(C(=C)C)CC	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9100000000000001
C(=C1CCN(C)CC1)(C)C	0,00198	0,00189	10.0	0.0	10.0	0.0	7	0.72
OC(C)C(OC)N2C=NC1=C(N=CN=C12)NCC	0,00198	0E0	10.0	0.0	0.0	0.0	5	0.0
O(C)P	4,2E-12	3,2E-13	65.0	6.0	66.0	5.0	7	0.8878873239436624
O=C(C1=CC=CC=C1)N2CCC3(CC2)(CCN(C)CC3)	8,24E-6	0E0	26.0	2.0	0.0	0.0	5	0.0
O=C(C1=CC2=C(N1CCS)CCC2C)N3CCCC3	0,02386	0E0	6.0	0.0	0.0	0.0	5	0.0
N=C(O)N(C(=C)C)CC	0,00373	0,0206	12.0	1.0	11.0	2.0	0	0.7953846153846154
O=C(O)C1CC1(C(NS)C(=C)C)	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7600000000000001
O=C1C=CC(=NN)C=C1	0,00687	0E0	8.0	0.0	0.0	0.0	5	0.0
null	0E0	1,4E-16	0.0	0.0	168.0	40.0	0	0.7742307692307691
N(C)C(CC)C(C)(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8383333333333334
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.9500000000000001
null	0E0	0,01238	0.0	0.0	7.0	0.0	0	0.7685714285714286
FC(F)(F)C1=CC=CC=C1C	1,2E-15	1,0E-21	73.0	4.0	77.0	0.0	0	0.9368831168831172
OC(C=1C=CC(=CC=1Cl)Cl)C	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.8916666666666667
OCC(NC)CC	0,00005	0,00661	28.0	4.0	8.0	0.0	7	0.77875
OC(=NC(C)(C)C)C	0,01327	0,01265	12.0	2.0	12.0	2.0	7	0.805
O=C(O)CN	9,2E-11	7,3E-11	53.0	4.0	53.0	4.0	7	0.8738596491228073
N=1OC(=C(C=1C)C(=C)N)C	0,00001	0,00001	18.0	0.0	18.0	0.0	0	0.9561111111111111
null	0E0	0,01067	0.0	0.0	10.0	1.0	0	0.8236363636363637
OC(=C(C=C)C=C)C	0,00892	0,00166	15.0	3.0	16.0	2.0	0	0.825
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.8916666666666667
NC(C)S	1,44E-9	1,17E-9	48.0	4.0	48.0	4.0	7	0.8905769230769229
OC(C)(C)CCC	4,5E-13	2,7E-16	99.0	17.0	103.0	13.0	7	0.8604310344827589
OC1(C)(CCC(C(=C)C)C1(C)(C))	0,00215	0E0	13.0	1.0	0.0	0.0	5	0.0
null	0E0	0,01834	0.0	0.0	9.0	1.0	0	0.806
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.77
CCCCCC(C)C	0,03233	0,03126	8.0	1.0	8.0	1.0	7	0.8566666666666668
C=C(C)C(C)(CC)C(C)C	8,27E-9	1,17E-9	61.0	10.0	62.0	9.0	7	0.8681690140845071
OC(=NCCC(=C)C)C	0,00217	0,00202	18.0	3.0	18.0	3.0	0	0.8528571428571429
O(C(=C)C)C=1C=C(C(=CC=1(OC))CC)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8799999999999999
null	0E0	1,3E-31	0.0	0.0	274.0	52.0	0	0.8366257668711649
O=C(O)C(C(C)C)C(C)C	0,00031	0,00029	13.0	0.0	13.0	0.0	7	0.8807692307692309
O=C(C)CO	6,76E-7	2,35E-8	27.0	1.0	28.0	0.0	7	0.9164285714285716
O=C(C(=C)C)N2CCC1(CN(CC)CCC1)(CC2)	8,69E-6	1,9E-14	50.0	12.0	60.0	2.0	7	0.8229032258064518
OC(=C(OC)C(=C)C)C	0,01905	0,00189	9.0	1.0	10.0	0.0	0	0.8949999999999999
OC1=CC=CC=C1CC	0,00217	0,00034	18.0	3.0	19.0	2.0	0	0.8814285714285715
null	0E0	2,6E-11	0.0	0.0	94.0	19.0	0	0.8853982300884957
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7866666666666665
null	0E0	6,6E-17	0.0	0.0	141.0	27.0	0	0.8088095238095238
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.6866666666666666
C=CC(=CC)NS	1,7E-16	8,6E-18	80.0	5.0	81.0	4.0	0	0.9276470588235292
O=C(OC(C=C)=CC)N2CCC1(CN(CC)CCC1)(CC2)	0,00198	0E0	10.0	0.0	0.0	0.0	5	0.0
O1C(C)C1C	0,00647	0,00054	11.0	1.0	12.0	0.0	7	0.9008333333333333
O=S(=O)(O)C(C)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.89
N1=CC(=NC2=CC=CC=C12)C	0,01114	0,01067	10.0	1.0	10.0	1.0	0	0.7254545454545455
NCCCC(NC)CC	0,00169	1,36E-6	25.0	6.0	29.0	2.0	7	0.8716129032258063
C=C(C)C(C)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.91
O=C(C(=CC)N(C)C)N1CCC2(CC1)(CCN(CC)CC2)	0,0345	0E0	10.0	2.0	0.0	0.0	5	0.0
OC(=C(OC1=CC=C(C=C1)C)C=C)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.8557142857142858
null	0E0	0,03126	0.0	0.0	8.0	1.0	0	0.7611111111111112
N(N)=C(OC)C(=C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.8866666666666667
OC1CC(=CC)C(C)(C)CC1	0,00031	0E0	13.0	0.0	0.0	0.0	5	0.0
C=CC(=CN)C(=C)N	0,01327	0,01265	12.0	2.0	12.0	2.0	0	0.892142857142857
OC=1C=CC(=CC=1CC)C	0,0128	0,01238	7.0	0.0	7.0	0.0	7	0.8157142857142858
O=S(=O)(N)C(C=C)=C(C)Cl	8,87E-7	0,00004	30.0	2.0	16.0	0.0	7	0.8206249999999999
C=1C=C(C=CC=1C)CN(CC)CC	0,00009	6,55E-7	36.0	8.0	39.0	5.0	7	0.8243181818181817
O=P(NC(C(=C)C)C(C)(C)C)(C1=CC=CC=C1)C2=CC=CC=C2	0,00687	0,00661	8.0	0.0	8.0	0.0	0	0.73
null	0E0	1,4E-15	0.0	0.0	79.0	6.0	0	0.9057647058823534
O=C(N(C(=N)C)C(=C)C)C	9,3E-23	1,5E-31	123.0	10.0	130.0	3.0	0	0.8896992481203004
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7166666666666667
