Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category
CCCCCC(C)C	0,03233	0E0	8.0	1.0	0.0	0.0	5
C=C(C)C(C)(CC)C(C)C	8,27E-9	0E0	61.0	10.0	0.0	0.0	5
OC(=NCCC(=C)C)C	0,00217	0E0	18.0	3.0	0.0	0.0	2
O(C(=C)C)C=1C=C(C(=CC=1(OC))CC)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=C(O)C(C(C)C)C(C)C	0,00031	0E0	13.0	0.0	0.0	0.0	5
O=C(C)CO	6,76E-7	0E0	27.0	1.0	0.0	0.0	5
O=C(C(=C)C)N2CCC1(CN(CC)CCC1)(CC2)	8,69E-6	0E0	50.0	12.0	0.0	0.0	5
OC(=C(OC)C(=C)C)C	0,01905	0E0	9.0	1.0	0.0	0.0	2
OC1=CC=CC=C1CC	0,00217	0E0	18.0	3.0	0.0	0.0	2
C=CC(=CC)NS	1,7E-16	0E0	80.0	5.0	0.0	0.0	2
O=C(OC(C=C)=CC)N2CCC1(CN(CC)CCC1)(CC2)	0,00198	0E0	10.0	0.0	0.0	0.0	5
O1C(C)C1C	0,00647	0E0	11.0	1.0	0.0	0.0	5
O=S(=O)(O)C(C)C	0,00687	0E0	8.0	0.0	0.0	0.0	5
N1=CC(=NC2=CC=CC=C12)C	0,01114	0E0	10.0	1.0	0.0	0.0	2
NCCCC(NC)CC	0,00169	0E0	25.0	6.0	0.0	0.0	5
C=C(C)C(C)C	0,0128	0E0	7.0	0.0	0.0	0.0	5
O=C(C(=CC)N(C)C)N1CCC2(CC1)(CCN(CC)CC2)	0,0345	0E0	10.0	2.0	0.0	0.0	5
OC(=C(OC1=CC=C(C=C1)C)C=C)C	0,0128	0E0	7.0	0.0	0.0	0.0	5
N(N)=C(OC)C(=C)C	0,02386	0E0	6.0	0.0	0.0	0.0	2
OC1CC(=CC)C(C)(C)CC1	0,00031	0E0	13.0	0.0	0.0	0.0	5
C=CC(=CN)C(=C)N	0,01327	0E0	12.0	2.0	0.0	0.0	2
OC=1C=CC(=CC=1CC)C	0,0128	0E0	7.0	0.0	0.0	0.0	5
O=S(=O)(N)C(C=C)=C(C)Cl	8,87E-7	0E0	30.0	2.0	0.0	0.0	5
C=1C=C(C=CC=1C)CN(CC)CC	0,00009	0E0	36.0	8.0	0.0	0.0	5
O=P(NC(C(=C)C)C(C)(C)C)(C1=CC=CC=C1)C2=CC=CC=C2	0,00687	0E0	8.0	0.0	0.0	0.0	2
O=C(N(C(=N)C)C(=C)C)C	9,3E-23	0E0	123.0	10.0	0.0	0.0	2
O=S(=O)(N)C1=CC=C(N)C=C1	7,12E-6	0E0	44.0	9.0	0.0	0.0	5
O=C(N(C(=O)C)C(=C)C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
C=C(C)[As]	0,00002	0E0	30.0	4.0	0.0	0.0	5
O=C(N3CCC2(CCN(C(O)=NC1=CC=CC(F)=C1)CC2)CC3)C	0,00063	0E0	18.0	2.0	0.0	0.0	5
N#CC1=CC=CC(=C1)C	7,2E-14	0E0	90.0	12.0	0.0	0.0	2
N=C(O)C(NC)C(C)C	0,00177	0E0	16.0	2.0	0.0	0.0	5
C=C1C(=CC)CCN(C)(C)C1	0,00687	0E0	8.0	0.0	0.0	0.0	5
NC(CC)C(C)C	7,29E-7	0E0	58.0	13.0	0.0	0.0	5
N=C(O)C1CCCCC1(N)	3,5E-11	0E0	61.0	6.0	0.0	0.0	5
O=C(O)C(C(O)C)C(C)C	0,00037	0E0	19.0	2.0	0.0	0.0	5
N=C(N)C1=CC=CC=C1Cl	2,09E-6	0E0	21.0	0.0	0.0	0.0	2
N=C(NCCC(=C)C)C	2,0E-16	0E0	58.0	0.0	0.0	0.0	2
CCCC(C)C	0,01327	0E0	12.0	2.0	0.0	0.0	5
N(=C)C1=C(N=CNC1(=NCC))N	0,01114	0E0	10.0	1.0	0.0	0.0	5
O=C(N3CCC2(CCN(C1=CC=CC(=C1)C)CC2)CC3)C	0,00177	0E0	16.0	2.0	0.0	0.0	2
O=C(OCCN(C)C)C	0,00915	0E0	17.0	4.0	0.0	0.0	2
O=C(OC)C	2,13E-9	0E0	89.0	21.0	0.0	0.0	5
C=C(C(NC)=C(C)I)I	0,02386	0E0	6.0	0.0	0.0	0.0	5
O1C=CC=C1CN	2,0E-11	0E0	65.0	7.0	0.0	0.0	2
N=C(O)NC=C	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=C(C(=C)N)N2CCC1(CCN(C(O)=NC(C=C)=CC)CC1)CC2	0,01327	0E0	12.0	2.0	0.0	0.0	5
OC=1C=CC2=C(C=1(O))C(C)(C)CC(N)C2	0,00811	0E0	13.0	2.0	0.0	0.0	5
N1=CC=C(C=C1)N(C)C	7,12E-6	0E0	44.0	9.0	0.0	0.0	5
O=C(OC(C)C)C(C=C)=CC	0,0345	0E0	10.0	2.0	0.0	0.0	5
OC1=CC=CC(=C1)C(N=C)=CC	0,00368	0E0	9.0	0.0	0.0	0.0	2
N=C(N)C1=CC=CC=C1CN(C)C	6,03E-7	0E0	23.0	0.0	0.0	0.0	2
C=CCN(C)C	0,00123	0E0	14.0	1.0	0.0	0.0	5
N(=C)C=CS	5,03E-6	0E0	47.0	10.0	0.0	0.0	5
N=C(O)CC(N=C(O)C(CC)C(N)C)CC(C)C	2,09E-6	0E0	21.0	0.0	0.0	0.0	5
N=C(N)N(C)C	6,9E-26	0E0	178.0	24.0	0.0	0.0	2
O=C(O)CCC(C)C(C)C	0,00368	0E0	9.0	0.0	0.0	0.0	5
N(=C)C(=NC)N1CCN(C)CC1	1,68E-7	0E0	70.0	17.0	0.0	0.0	2
O=C(N3CCCC2(CN(C1=CC=CC(=C1)C)CC2)(C3))C	0,00687	0E0	8.0	0.0	0.0	0.0	2
O=C1C=C(OC(=C1(C=C))C)C	0,00106	0E0	11.0	0.0	0.0	0.0	2
C=C(C(=CN)CC(NC)CC)C	1,65E-7	0E0	42.0	5.0	0.0	0.0	5
C(=CC(C)(C)C)C	0,00001	0E0	36.0	6.0	0.0	0.0	5
OC(O)CC(O)C	0,00005	0E0	16.0	0.0	0.0	0.0	5
OCCN(CC)CC	0,00096	0E0	22.0	4.0	0.0	0.0	2
O=C1C=NC(=C)C(=NC)N1CC=2C=CC=C(O)C=2	0,00106	0E0	11.0	0.0	0.0	0.0	2
OC1CCC(C)(C)C2CCC(C)(C)C(CC)C12	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=C(O)C(O)C(O)C	0,00647	0E0	11.0	1.0	0.0	0.0	5
OC=1C=CC=2NC=C(C=2(C=1))CC	4,8E-13	0E0	69.0	6.0	0.0	0.0	2
C=C(C(=CN)CCN)C	0,0128	0E0	7.0	0.0	0.0	0.0	2
