Signature	Category
C=C(C1=C(C=CC=C1C)C)C	0
C=CC(C(=C)C)=C(C)C	0
NC=1C=CC(=C(N)C=1)N(C)C	0
C=C1C=CC(C(=C)C1)=C(C)C	0
OC(C(C=C)=C(C)C)C	0
OC(C(C(=C)C)=C(C)C)(C)C	0
N1=CC=CC(=C1C=C)C	0
C=C1C=C(C=CC1(=CC))C	0
O1C(N)=CC=C1C=C	0
N=CC(C(=C)C)=C(C)C	0
N=C(C(C(=C)C)=C(C)C)C	0
O=N(=O)C(C=C)=C(N)C	0
C=CC1=C(C)CCCC1	0
O=C(ON)C(=C)C	0
N(CCC)CCCl	0
C=CC1=CC(C(=C)C)=C(C=C1C)C	0
O=NO	0
C=C(N)SC(=C)C	0
O1C(=C)C(=C)C2=CC=CC=C12	0
N(C)CCCN(C)C	0
O=N(=O)C(=CC)C(=C)C	0
C=CC(C(=C)N)=C(N)C	0
OC(=C)C=NN	0
O1CC1CC(C=C)=CC	0
OC=1C=CC(=C(C=1)C(=C)C)C	0
C=CC(N)=C(C)C	0
O=C1C(=C)CC(=O)C=2C(O)=CC=CC1=2	0
O=N(=O)C=1C=CC(=CC=1C)C	0
O(N)CCCC	0
C=C(C=C(N)S)C	0
C=C(N)C(=C(C)C)SN	0
O=NC(=CC)C(=C)C	0
O=N(=O)C(C=C)=CC	0
C=C(C(=C(C)C)C(N)C)C	0
N=C1C=C(C=CC1=C(N)C)Cl	0
N=C(O)OC(C)(C)C	0
N=C1NC(C(=N)C)=C(N1C)C	0
C=CC=1C2=CC=CC=C2(NC=1C)	0
N(=C)C(=CS)C=1OC(N)=CC=1	0
N=C(N)SC=C	0
N=C(NC)N(C)C	0
O=C1C(=C(O)C)C(=C)CC(=C1C(=C)N)C	0
O=S(=O)(O)C	0
C=C2C=C1C=CC=CC1=C(C)C2	0
C=CC=1NC(C(=C)C)=C(C=1C)C	0
C=C(N(C(C)C)C)C	0
N=C(C)SN(C)C	0
N=C1NC(C(=C)C)=C(N1C)C	0
O=S(=O)(O)OCC	0
N1=C(C(C=C)=CC(C=C)=C1C)C	0
C=C(C)SC1=CC=CC=C1	0
C=CC1=C(C=C(C=C1C)C)C	0
O1C(N)=CC=C1C(=C)N	0
OC1OC(C)C(O)C(N(C)C)C1	0
N(=C)C(C(=C)N)=C(C)C	0
N2=CN=C1C(N=CN1CC)=C2N	0
O=C(C(C=C)=CC)Cl	0
OC(=NCC)C=CC	0
N=C(N(C=C)C(=C)N)S	0
O1C2C3=CC=CC=C3(C(=C)CC12)	0
O=C(O)C=CC(OC)=CC	0
N=C1C=C(NC2=CC=CC=C12)C	0
O=C(C(=C)N)C(=C)C	0
N=NCC(N)C	0
C=2C=C1C=C(C=C(C1=C(C=2)C)C)C	0
O1C(=C)C(OC=2C=CC(N)=CC1=2)=CC	0
O=N(=O)C1=CC=C(C=C1)C	0
O(C)CCBr	0
OC(C=1C=CC(=C)CC=1C)C	0
C=C(C(C(=C)C)=C(N)C)C	0
C=C1C=CC(=CC1)Cl	0
N=C1NC(C(=C)N)=C(N1C)C	0
C=C(NCC)C	0
N=NC(=CC)C(=C)N	0
NC1=CC=C(NC)C(=C1)C	0
C=C1C=C2C=CC=CC2(=CC1)	0
OC(=NC(=C)C)C(C=C)=CS	0
N=NN	0
C=CC(=C(C)C)N(C)C	0
C=C(C)C1N(C)C1(C)	0
OC1=CC=CC(=C1C)C(C)C	0
OCC(C(=C)C)=C(C)C	0
C=C(C(=CC)C(=C)C)C	0
N=NCCC	0
N1(CC1)P	0
C1=C(C)CCCC1	0
N=1C(=C)C(C=C(C=C)C=1C)=CC	0
C=CC(C(=C)C)N(C)C	0
OC(=NC)N(N)C	0
OC1=CC=C(N)C=C1	0
O=C(C1=CC=C(N)C=C1)C	0
O=C(C(C(O)=C)=C(C)C)C	0
C=C(N)C=1C=CC(=CC=1C)C	0
C=CC=1NC(C=C)=C(C=1C)C	0
OC1=CC(=C(O)C2=C1C(O)CC(O)(C)C2)C	0
N=C(C(C=C)=C(C)C)C	0
O=C(C=1C=C(OC)C=CC=1C)C	0
O=C1C=CCC(=C1C(O)=C)C	0
OC(=NC(C)=S)C	0
N(=NC(=CC)C(=C)N)C(=C)C	0
C=CC1=C(C)CC(=C)CC1	0
C=CC=1C=CC(=C)CC=1C	0
C=CC=C(N)S	0
O=N(=O)C(=C(N)C)N(C)C	0
O(N)CC1=CC=CC=C1	0
C(=C(C)C)SC	0
O=C1C=C(C(=O)C=C1(OC))C	0
O=N(=O)C	0
NC=2C=CC=1C(=CC=CC=1C)C=2	0
O=C(C=1C(O)=CC=CC=1C)C	0
N(=NC(=CC)C(=C)N)C1=CC=CC=C1	0
NN(C)CC	0
OC(=C)N	0
O1C(C=C)=C(OC1)C(=C)C	0
C1=CC(=C(C1=CC)C)C	0
N=C(O)C(C=C)=CS	0
O=N(=O)C=1C=CC(N)=C(C=1)Cl	0
N1=CC=CC=2C1=CC=CC=2(N)	0
C=CC(=CC)C1=CC=C(N)C=C1	0
N(CC)(CCC)CCCl	0
O=N(=O)C(C=C)=C(C)C	0
O=C1C(=CC)C(=C)CC(=C)C1=C(O)C	0
C=C(C(=C(C)C)C)C	0
O=C(ON)C1=CC=CC=C1	0
O1CC1C(=C)C	0
N=C(C=C(C)Cl)C	0
C=CC1=C(C=CC=C1C)C	0
C=CC1=CC=C(N)C=C1	0
OCC1=CC=C(N)C=C1	0
N=CC=1OC(N)=CC=1	0
O=C(N(C(=C)C)SC)C	0
OC(=C)C(N=C)=CS	0
O=C(C)C1(O)(CC(=C(O)C)C(=C)CC1)	0
OC(=NSC)C	0
N=C1C=C(C=CC1)Cl	0
O=N(=O)C1=CC=C(O)C=C1	0
O(C=C)CC	0
N=CN(C(=C)N)CC	0
N(=C)C(=C(N)N)C(=C)C	0
N=NC(=NC)N(C)C	0
N=C(O)N(N)C	0
O=N(=O)C(=CC)C(=C)S	0
C=CC(C=C)=C(C)C	0
O=C(C(O)=C)C(=C)N	0
C1=CC(=C(C(=C1)C)CC)C	0
C=C(C)C1N(C1(C))S	1
C(N(C)C)(=S)S	1
NN(C)C(C)C	1
OC(C)(C)CCC	1
C=C(C)C(Cl)(Cl)Cl	1
O=C(O)NC1CCCCC1	1
C=1C=C(C=CC=1N(C)C)CC	1
CCC1CCC(CC1)Cl	1
O=S(=O)(O)C1=CC2=CC(=CC(N)=C2(C(O)=C1(N=NC(=C)C)))S	1
O(C(CCl)CCl)P	1
CC(C(Cl)(Cl)Cl)Cl	1
OC1=CC(N=NN1(N=C))=C	2
N=C(O)OCC	2
C=C(C)C(Br)Br	2
N1=CC=CC(=C1C(=C)C)C	2
OC1=CC=C(C=C1)N(O)C	2
N(C)CCN(C)C	2
O=NN(CC)CC	2
O=N(=O)C(O)=C	2
O=CC(=CC)C(C)(C)C	2
N=C(C(N=C)=CC)C	2
C=C(N)C1=CC=CC=C1	2
OC=CC=CC=CC=CC=CCC	2
OC1C=CC(=CC1(O))C	2
OC=CC=CC=CC=C	2
OC=CC=CC=CC=CC=C	2
N=C(C(=NC)C)C	2
O=N(=O)C1=CC=C(O)C=C1C	2
OC(C)C1OC1(C(=C)C)	2
NC1=CC=CC=C1S	2
O=N(=O)C(=C)S	2
N=C(O)C=5N=C(C=4N=C(CCN=C(O)C(N=C(O)C(C)C(O)C(N=C(O)C(N=C(O)C=1N=C(NC(=N)C=1C)C)C(OC2OC(C)CC(O)C2(OC))C3=CN=CN3)C)C(O)C)SC=4)SC=5	2
O=NN(C(=N)N)CC	2
N=CC1=CC=C(O)C=C1	2
O=NN(C)CC	2
C1=CC=C3C(=C1)C2=CC=CC=C2C3	2
OC1C=CC(=C(C(=C)C)C1(O))C	2
O=NN(C(=O)O)C	2
O=C1C(=C)CC(=O)C2=C(N)C=CC(NC)=C12	2
N(=NC)C1=CC=CC(=C1)C	2
C(=CC=CCC)C=CC	2
C=CC=1C=CC=C(C(=C)C)C=1C	2
N=C(N)C(=CC)C(=C)C	2
NC1=CC=CC=C1C	2
NCCCNCC	2
O=C(C=1C=C(C(=CC=1C)C)C(C)C)C	2
O=C(ON(C(=O)C)C(C=C)=CC)C	2
O(C(=C)C)CC1=CC=CC=C1	2
O1C2CCCCC12	2
C=CC(=CC)SC(C=C)=CC	2
NCCCl	2
OC(=C(C(=C)C)C(O)C)C	2
O(C1=CC=CC=C1)C(=C)C	2
C=C2C(=CC)C1=CC=CC=C1C2C	2
O=N(=O)C(C=C)=CS	2
O=S(=O)(O)ONC	2
ON(OCC)C	2
N=C(C)S	2
N=1C(=C)CN=C2C=CC(N)=CC=12	2
O1C=CC2C3=C(OC12)C=C(OC)C(=C3(OC))C	2
N(=NC1=CC=CC=C1)C2=CC=CC=C2	2
O=C2OC=1C(=C(O)C=C(O)C=1C(C)C)C(=C2)C	2
ON(C1=CC=C(OC(=C)C)C=C1)C	2
O=N(=O)C(N)(N)N	2
N=C1C(C=C)=C(NC(=C1(C=C))C)C	2
OC=1C=CC2=CC=CC(=C2(C=1))C	2
N=C1C=C(C=NN1)C	2
C=1C=C(C(=C(C=1)C(C)C)C)N(C)C	2
O=N(=O)C1=CC=CC(=C1(C(=C)C))C	2
O1C(C(=C)C)C1C(=C)C	2
O=C1C=C(C(=O)C2=C(O)C=CC(O)=C12)C	2
O(C(=C)C)CC(C=C)=CC	2
C=C(C(C1=CC=C(C=C1)N(CC)CC)=C(C)C)C	2
O=C1C3=CC=CC=C3(C(=O)C=2C(N)=CC=CC1=2)	2
N=NC1=CC=C(N=NC)C=C1	2
OC(=NC)C(O)(C)C	2
O=C(C=1C=CC=C(O)C=1C)C	2
NC=1C=C(C=CC=1C)C	2
N=NNCC	2
O=C1C=C(C(=O)C=2C=CC=C(O)C1=2)C	2
NC(=C(NC)C1=CC=CC=C1)C	2
N=NN(N=CC1=CC=CC=C1)C(O)=C	2
O1C2C(=CC)C(=C)CC(=C)C12	2
NC1=CC=C(C=C1)C=CC2=CC=CC=C2	2
C=CC=2NC=1C=CC(=C(C=C)C=1C=2C(=C)C)C	2
O=P(O)(N)N	2
O=C(O)C(C(=C)C)C(O)(C)C	2
C=C(Cl)S	2
OC(=C1C(=C)CC(O)(C)CC1(OC(O)C))C	2
O=N(=O)C1=CC=CC(=C1(OC))C	2
C=1C=C(C=C(C=1)C)N(CCCl)CCCl	2
N=NC1=CC=CC=C1C	2
OC(=NC(C=C)=CC)C(=C)C	2
N(N)=C(NN)C(=C)C	2
C=C2C1=CC=CC=C1C3NC3(C2)	2
N(C)CCNCC	2
C1=CC=C(C(=C1)C)C(C)C	2
C=CC=1C=CC=C(C=1C)CC	2
O=C(OCC(CO)(CO)CC)C	2
O=S(=O)(NC=1C=CC=C(O)C=1)C	2
O=N(=O)C1=CC=CC=C1(OC)	2
OC(OC(O)C)C	2
O=C(O)C(=C(C)C)Cl	2
N(=C)C(C1=CC=CC=C1)=C(N)C	2
O(C1=CC=CC=C1)C2=CC=C(N)C=C2	2
O=C1C=C(C(=O)C2=C(O)C(=CC(O)=C12)C)C	2
NN(C)CC(C)C	2
OO	2
C=CC1CC(C)(C)CC1C(C)(C)C	2
N=C(NC(=C)N)C	2
N(=CC1=CC=CC=C1)C	2
OC2C=CC=1C=C(C=CC=1C2(O))C	2
O=N(=O)C(=N)N	2
O=N(=O)OCCN	2
N=C(O)C=1N=C(C(=C)N)SC=1	2
N=2C1=CC=CC=C1C(=C)C=2C	2
N=NN(N=C)C(O)=C	2
OC(CC)(CC)C(C)C	2
C1=CC=C2C(=C1)C(=CC)C(=CC)C2	2
N=C(O)C1=CC=CC=C1	2
NC1=CC(=CC2=CC=CC=C12)C	2
O=C1C(=C)CC(=O)C=2C=CC=C(O)C1=2	2
OC1=CC(O)=CC(OC)=C1	2
C=CC(=CC)C(C(C=C)=CC)=C1C=CC(C=C1)N(CC)CC	2
O=C1C(=C)CC(=O)C=2C(N)=CC=CC1=2	2
NC1=CC=C(C=C1)CC	2
O=C(NC(C(O)=NC(C)C(O)C(C(O)=NC(C(O)=NCCC1=NC(=CS1)C2=NC(=CS2)C(=N)O)C(O)C)C)C(OC(O)C)C(N=C)=CN)C(=N)C	2
O=C1C2=C(O)C=C(OC)C=C2(OC(=C)C1)	2
O=C1C3=CC=CC=C3(C(=O)C2=C(O)C(=CC(O)=C12)C)	2
N=NC1=CC=C(C=C1)C	2
N=C2NC=1C(=CC=CC=1C)N2C	2
C=C2C1=CC=CC=C1C(C2(=C))C	2
N1=NC(NN)=C(C=C1)C	2
OC1C=CC=C(C)C1(O)	2
OC(O)C(C=C)C(=C)C	2
O=S(=O)(O)OCC(=C)C	2
O=N(=O)C1=CC=CC(C=C)=C1C	2
CC1(C)(CC1)	2
O=S(=O)(O)C1=CC(=C)CC(O)=C1(N=N)	2
C=CC=1C2=CC=CC=C2(C=CC=1C)	2
N(=NC)C1=CC=C(C=C1)C(=C)C	2
O=C1OC(C(=C)C)=C(C=C1C)C	2
N1=NN(N)C=C(N)C1=C(C)C	2
O=S(=O)(OC)OC	2
N=C(O)C=6N=C(C=5N=C(CCN=C(O)C(N=C(O)C(C)C(O)C(N=C(O)C(N=C(O)C=1N=C(NC(=N)C=1C)C(NCC(N)C)CC(=N)O)C(OC3OC(CO)C(O)C(O)C3(OC2OC(CO)C(O)C(OC)C2(O)))C4=CN=CN4)C)C(O)C)SC=5)SC=6	2
O(C1=CC=C(C=C1)NC)C(=C)C	2
OC(=NCCN(C)C)C	2
NCN(CN)CN	2
CSCCCl	2
OC(=C(Cl)Cl)C	2
N2=C1C=C(N)C=CC1=C(N)C=C2C	2
C(Cl)(Cl)(Cl)S	2
OC2OC=1C=CC(=C(OC)C=1C2(C=C))C	2
